"","ChEMBL ID","AlogP","Polar Surface Area","HBA","HBD","#RO5 Violations","#Rotatable Bonds","Passes Ro3","QED Weighted","CX Acidic pKa","CX Basic pKa","CX LogP","CX LogD","Aromatic Rings","Inorganic Flag","Heavy Atoms","HBA (Lipinski)","HBD (Lipinski)","#RO5 Violations (Lipinski)","Smiles"
"8627","CHEMBL260829","1.86","49.41","2","1","0","3","Y","0.88","13.75","None","1.58","1.58","1",0,"18","4","1","0","Cc1cccc(C)c1NC(=O)CN1CCCC1=O"
"8628","CHEMBL77517","2.27","122.12","4","3","0","4","N","0.64","6.85","None","1.77","1.26","3",0,"24","7","4","0","NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1"
"8629","CHEMBL24944","4.93","49.33","2","2","0","2","N","0.68","6.16","None","5.07","3.86","2",0,"19","3","2","0","O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O"
"8630","CHEMBL560302","0.10","164.12","12","2","2","5","N","0.37","11.07","None","0.53","0.53","0",-1,"37","12","2","2","COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H]([C@@]3(O)[C@H](O)[C@@H](OC)O[C@H]3OC)C[C@]21C"
"8631","CHEMBL226818","5.02","55.76","4","1","1","13","N","0.41","9.95","None","5.73","5.73","1",-1,"24","4","1","1","CCCCCCCCCCOC(=O)CCc1ccc(O)c(OC)c1"
"8632","CHEMBL525633","1.92","265.89","20","1","2","8","N","0.29","12.74","3.61","0.87","0.87","2",-1,"61","20","1","2","CC(=O)OC[C@]12[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]3[C@@H](OC(C)=O)[C@@]14O[C@@]3(C)COC(=O)c1cccnc1C(C)C(C)C(=O)O[C@@H]([C@H](OC(=O)c1ccco1)[C@@H]2OC(C)=O)[C@]4(C)O"
"8633","CHEMBL243907","5.74","117.37","5","4","1","6","N","0.30","9.50","4.46","5.40","5.40","4",-1,"33","9","4","1","CCc1cccc(NC(=O)Nc2ccc(Oc3ccc4nc(NC(=O)OC)[nH]c4c3)cc2)c1"
"8634","CHEMBL535650","4.45","45.15","3","2","0","2","N","0.76","13.79","9.46","4.11","2.07","2",0,"26","3","2","0","Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1"
"8635","CHEMBL1200589","-0.65","172.46","13","3","2","10","N","0.26","2.84","8.34","-3.09","-3.11","2",0,"34","13","4","2","CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1.Cl"
"8636","CHEMBL413307","2.99","226.72","13","4","2","8","N","0.10","9.02","3.37","5.85","5.84","1",-1,"51","15","5","2","CCC(C)[C@@H]1OC(=O)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(N)c2O)[C@@H](C)OC(=O)[C@H](CC(C)C)OC(=O)C(C)(C)C(=O)[C@H](CC(C)C)NC1=O"
"8637","CHEMBL1524","1.55","52.93","4","2","0","0","N","0.70","9.87","8.51","0.78","-0.20","1",-1,"20","4","2","0","CN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(O)ccc(c23)C1"
"8638","CHEMBL37676","3.42","29.46","2","1","0","0","N","0.73","10.80","None","4.23","4.23","1",0,"16","2","1","0","Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2"
"8639","CHEMBL240860","6.01","48.02","2","1","1","10","N","0.43","None","None","6.39","6.39","3",-1,"28","3","2","1","CCCCCCCCn1cc(CC(N)=O)c2cc(-c3cccc(C)c3)ccc21"
"8640","CHEMBL1201303","5.31","12.05","2","0","1","4","N","0.44","None","1.48","1.41","1.41","4",0,"29","3","0","1","Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1"
"8641","CHEMBL464169","1.37","104.06","6","3","0","2","N","0.66","7.33","None","2.04","1.69","2",-1,"22","6","3","0","COc1cc(CO)cc2c1C(=O)c1c(O)cc(O)cc1C2=O"
"8642","CHEMBL537970","1.36","0.00","0","0","0","1","Y","0.40","None","None","1.63","1.63","0",-1,"4","0","0","0","C=CC=C"
